;ID;RegioS;Perioden;TotaleOppervlakte_1;TotaalVerkeersterrein_2;Spoorterrein_3;Wegverkeersterrein_4;Vliegveld_5;TotaalBebouwdTerrein_6;Woonterrein_7;TerreinVoorDetailhandelEnHoreca_8;TerreinVoorOpenbareVoorzieningen_9;TerreinVoorSociaalCultureleVoorz_10;Bedrijventerrein_11;TotaalSemiBebouwdTerrein_12;Stortplaats_13;Wrakkenopslagplaats_14;Begraafplaats_15;Delfstofwinplaats_16;Bouwterrein_17;SemiVerhardOverigTerrein_18;TotaalRecreatieterrein_19;ParkEnPlantsoen_20;Sportterrein_21;Volkstuin_22;DagrecreatiefTerrein_23;VerblijfsrecreatiefTerrein_24;TotaalAgrarischTerrein_25;TerreinVoorGlastuinbouw_26;OverigAgrarischTerrein_27;TotaalBosEnOpenNatuurlijkTerrein_28;Bos_29;OpenDroogNatuurlijkTerrein_30;OpenNatNatuurlijkTerrein_31;TotaalBinnenwater_32;IJsselmeerMarkermeer_33;AfgeslotenZeearm_34;RijnEnMaas_35;Randmeer_36;Spaarbekken_37;RecreatiefBinnenwater_38;BinnenwaterVoorDelfstofwinning_39;VloeiEnOfSlibveld_40;OverigBinnenwater_41;TotaalBuitenwater_42;WaddenzeeEemsDollard_43;Oosterschelde_44;Westerschelde_45;Noordzee_46
4320;4320;Olst;1996;6280.0;159.0;24.0;135.0;0.0;159.0;113.0;5.0;4.0;6.0;31.0;25.0;2.0;0.0;3.0;0.0;5.0;15.0;40.0;0.0;17.0;2.0;2.0;18.0;4985.0;0.0;4985.0;656.0;622.0;0.0;34.0;256.0;;;111.0;;0.0;0.0;0.0;0.0;145.0;;;;;
4321;4321;Olst;2000;6280.0;158.0;23.0;135.0;0.0;161.0;117.0;5.0;4.0;6.0;29.0;24.0;2.0;0.0;3.0;0.0;6.0;14.0;50.0;10.0;17.0;2.0;2.0;19.0;4978.0;0.0;4978.0;654.0;620.0;0.0;34.0;256.0;;;111.0;;0.0;0.0;0.0;0.0;144.0;;;;;
4322;4322;Olst;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4323;4323;Olst;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4324;4324;Olst;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4325;4325;Olst;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4326;4326;Olst;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4327;4327;Olst;2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4328;4328;Olst-Wijhe;1996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4329;4329;Olst-Wijhe;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4330;4330;Olst-Wijhe;2003;11838.0;312.0;41.0;271.0;0.0;326.0;236.0;11.0;5.0;15.0;58.0;44.0;2.0;1.0;5.0;0.0;12.0;24.0;69.0;6.0;32.0;2.0;2.0;27.0;9759.0;0.0;9759.0;907.0;866.0;0.0;42.0;422.0;;;182.0;;0.0;0.0;0.0;0.0;240.0;;;;;
4331;4331;Olst-Wijhe;2006;11838.0;308.0;40.0;268.0;0.0;339.0;248.0;11.0;4.0;17.0;59.0;39.0;2.0;0.0;5.0;0.0;8.0;24.0;71.0;6.0;34.0;2.0;2.0;27.0;9747.0;0.0;9747.0;910.0;871.0;0.0;39.0;423.0;;;183.0;;0.0;0.0;0.0;0.0;240.0;;;;;
4332;4332;Olst-Wijhe;2008;11838.0;304.0;41.0;263.0;0.0;342.0;249.0;13.0;4.0;16.0;60.0;68.0;2.0;0.0;5.0;10.0;30.0;21.0;74.0;4.0;34.0;2.0;2.0;31.0;9707.0;0.0;9707.0;916.0;877.0;0.0;38.0;427.0;;;183.0;;0.0;0.0;0.0;0.0;245.0;;;;;
4333;4333;Olst-Wijhe;2010;11838.0;317.0;41.0;276.0;0.0;349.0;256.0;13.0;4.0;17.0;59.0;84.0;2.0;0.0;5.0;10.0;52.0;15.0;74.0;4.0;34.0;2.0;2.0;32.0;9672.0;0.0;9672.0;907.0;873.0;12.0;22.0;435.0;;;182.0;;0.0;0.0;6.0;0.0;248.0;;;;;
4334;4334;Olst-Wijhe;2012;11837.0;310.0;40.0;269.0;0.0;358.0;259.0;13.0;4.0;17.0;65.0;87.0;2.0;0.0;5.0;0.0;64.0;15.0;84.0;4.0;36.0;2.0;2.0;40.0;9652.0;0.0;9652.0;909.0;875.0;12.0;22.0;438.0;;;185.0;;0.0;0.0;0.0;0.0;253.0;;;;;
4335;4335;Olst-Wijhe;2015;11837.0;303.0;40.0;262.0;0.0;382.0;269.0;13.0;4.0;24.0;73.0;84.0;2.0;0.0;5.0;0.0;60.0;16.0;93.0;13.0;37.0;2.0;2.0;38.0;9608.0;0.0;9608.0;915.0;875.0;11.0;30.0;453.0;;;185.0;;0.0;0.0;0.0;0.0;267.0;;;;;
4336;4336;Ommen;1996;18847.0;455.0;40.0;415.0;0.0;371.0;279.0;8.0;11.0;15.0;57.0;66.0;6.0;0.0;8.0;31.0;21.0;0.0;505.0;25.0;92.0;3.0;12.0;372.0;12092.0;0.0;12092.0;5160.0;4551.0;580.0;28.0;199.0;;;;;0.0;6.0;6.0;0.0;186.0;;;;;
4337;4337;Ommen;2000;18198.0;427.0;38.0;390.0;0.0;373.0;273.0;8.0;14.0;18.0;59.0;59.0;6.0;0.0;8.0;31.0;15.0;0.0;491.0;25.0;86.0;2.0;8.0;369.0;11494.0;0.0;11494.0;5155.0;4575.0;554.0;25.0;199.0;;;;;0.0;6.0;6.0;0.0;186.0;;;;;
4338;4338;Ommen;2003;18198.0;431.0;33.0;398.0;0.0;373.0;268.0;10.0;14.0;20.0;61.0;75.0;2.0;0.0;8.0;31.0;34.0;0.0;549.0;39.0;110.0;2.0;1.0;396.0;11471.0;0.0;11471.0;5101.0;4460.0;612.0;29.0;199.0;;;;;0.0;6.0;6.0;0.0;186.0;;;;;
4339;4339;Ommen;2006;18198.0;424.0;34.0;390.0;0.0;402.0;281.0;14.0;13.0;16.0;78.0;60.0;1.0;0.0;8.0;26.0;24.0;0.0;551.0;36.0;109.0;2.0;1.0;402.0;11476.0;0.0;11476.0;5086.0;4437.0;618.0;30.0;200.0;;;;;0.0;6.0;6.0;0.0;188.0;;;;;
4340;4340;Ommen;2008;18198.0;424.0;34.0;390.0;0.0;421.0;290.0;18.0;13.0;16.0;83.0;39.0;1.0;0.0;8.0;26.0;4.0;0.0;582.0;38.0;139.0;2.0;1.0;402.0;11449.0;0.0;11449.0;5083.0;4434.0;619.0;30.0;200.0;;;;;0.0;6.0;6.0;0.0;188.0;;;;;
4341;4341;Ommen;2010;18198.0;441.0;34.0;408.0;0.0;421.0;292.0;16.0;13.0;14.0;86.0;69.0;2.0;0.0;8.0;27.0;33.0;0.0;556.0;38.0;113.0;2.0;1.0;401.0;11375.0;0.0;11375.0;5130.0;4429.0;584.0;116.0;205.0;;;;;0.0;6.0;0.0;0.0;199.0;;;;;
4342;4342;Ommen;2012;18201.0;439.0;34.0;406.0;0.0;429.0;293.0;16.0;13.0;14.0;92.0;95.0;2.0;0.0;8.0;27.0;59.0;0.0;565.0;38.0;119.0;2.0;3.0;402.0;11340.0;0.0;11339.0;5128.0;4424.0;581.0;123.0;206.0;;;;;0.0;6.0;0.0;0.0;199.0;;;;;
4343;4343;Ommen;2015;18201.0;437.0;34.0;404.0;0.0;426.0;294.0;16.0;13.0;13.0;89.0;79.0;2.0;0.0;8.0;27.0;43.0;0.0;567.0;38.0;120.0;2.0;3.0;403.0;11332.0;0.0;11332.0;5148.0;4383.0;618.0;147.0;212.0;;;;;0.0;6.0;0.0;0.0;205.0;;;;;
4344;4344;Onderbanken;1996;2124.0;96.0;0.0;60.0;36.0;184.0;178.0;0.0;4.0;1.0;0.0;14.0;0.0;0.0;3.0;10.0;0.0;0.0;34.0;0.0;21.0;3.0;0.0;10.0;1406.0;0.0;1406.0;385.0;377.0;5.0;2.0;6.0;;;;;0.0;3.0;3.0;0.0;0.0;;;;;
4345;4345;Onderbanken;2000;2124.0;94.0;0.0;58.0;36.0;182.0;176.0;0.0;4.0;1.0;0.0;10.0;0.0;0.0;3.0;7.0;0.0;0.0;35.0;0.0;21.0;3.0;0.0;11.0;1411.0;0.0;1411.0;386.0;378.0;5.0;2.0;6.0;;;;;0.0;0.0;0.0;0.0;6.0;;;;;
4346;4346;Onderbanken;2003;2124.0;98.0;0.0;62.0;36.0;185.0;180.0;0.0;4.0;1.0;0.0;15.0;0.0;0.0;3.0;7.0;5.0;0.0;32.0;0.0;21.0;3.0;0.0;9.0;1399.0;0.0;1399.0;387.0;380.0;5.0;2.0;8.0;;;;;0.0;0.0;0.0;0.0;8.0;;;;;
4347;4347;Onderbanken;2006;2124.0;96.0;0.0;61.0;35.0;185.0;179.0;0.0;4.0;3.0;0.0;17.0;0.0;0.0;3.0;7.0;7.0;0.0;32.0;0.0;21.0;3.0;0.0;9.0;1402.0;0.0;1402.0;386.0;379.0;5.0;2.0;6.0;;;;;0.0;0.0;0.0;0.0;6.0;;;;;
4348;4348;Onderbanken;2008;2124.0;96.0;0.0;61.0;35.0;193.0;186.0;0.0;4.0;2.0;0.0;11.0;0.0;0.0;3.0;7.0;1.0;0.0;32.0;0.0;20.0;3.0;0.0;9.0;1395.0;0.0;1395.0;391.0;384.0;5.0;2.0;6.0;;;;;0.0;0.0;0.0;0.0;6.0;;;;;
4349;4349;Onderbanken;2010;2124.0;83.0;0.0;61.0;22.0;190.0;187.0;0.0;0.0;2.0;0.0;18.0;0.0;0.0;3.0;4.0;11.0;0.0;27.0;0.0;19.0;0.0;0.0;9.0;1401.0;1.0;1400.0;397.0;384.0;11.0;2.0;8.0;;;;;0.0;0.0;2.0;0.0;6.0;;;;;
